"ID_MARCA","MARCA","ID_LINHA","LINHA","DATA_VENDA","QTD_VENDA"
"4","VULT","4","SOLAR","8/7/2017","15"
"1","BOTICÁRIO","1","CABELOS","2/15/2017","4"
"1","BOTICÁRIO","5","HIDRATANTES","12/4/2017","2"
"5","BELEZA NA WEB","1","CABELOS","12/25/2017","10"
"4","VULT","4","SOLAR","11/14/2017","2"
"3","QUEM DISSE BERENICE","5","HIDRATANTES","4/13/2017","7"
"1","BOTICÁRIO","5","HIDRATANTES","5/2/2017","17"
"5","BELEZA NA WEB","2","PERFUMARIA","4/26/2017","7"
"4","VULT","3","MAQUIAGEM","1/10/2017","1"
"4","VULT","1","CABELOS","9/8/2017","3"
"4","VULT","4","SOLAR","7/7/2017","1"
"5","BELEZA NA WEB","3","MAQUIAGEM","1/11/2017","2"
"2","EUDORA","5","HIDRATANTES","7/11/2017","16"
"5","BELEZA NA WEB","2","PERFUMARIA","8/16/2017","1"
"1","BOTICÁRIO","3","MAQUIAGEM","7/19/2017","7"
"2","EUDORA","1","CABELOS","11/21/2017","2"
"5","BELEZA NA WEB","2","PERFUMARIA","12/17/2017","9"
"2","EUDORA","5","HIDRATANTES","4/18/2017","19"
"5","BELEZA NA WEB","4","SOLAR","6/18/2017","16"
"5","BELEZA NA WEB","3","MAQUIAGEM","12/8/2017","9"
"4","VULT","3","MAQUIAGEM","6/22/2017","9"
"4","VULT","4","SOLAR","8/16/2017","11"
"4","VULT","3","MAQUIAGEM","10/16/2017","8"
"5","BELEZA NA WEB","1","CABELOS","3/21/2017","15"
"5","BELEZA NA WEB","2","PERFUMARIA","8/20/2017","17"
"1","BOTICÁRIO","4","SOLAR","6/11/2017","14"
"3","QUEM DISSE BERENICE","1","CABELOS","2/15/2017","15"
"2","EUDORA","2","PERFUMARIA","9/27/2017","10"
"5","BELEZA NA WEB","2","PERFUMARIA","9/26/2017","15"
"4","VULT","5","HIDRATANTES","8/19/2017","11"
"5","BELEZA NA WEB","3","MAQUIAGEM","8/18/2017","5"
"2","EUDORA","1","CABELOS","11/3/2017","2"
"3","QUEM DISSE BERENICE","5","HIDRATANTES","1/13/2017","13"
"1","BOTICÁRIO","4","SOLAR","10/23/2017","3"
"3","QUEM DISSE BERENICE","4","SOLAR","5/6/2017","18"
"3","QUEM DISSE BERENICE","3","MAQUIAGEM","1/12/2017","1"
"4","VULT","4","SOLAR","8/23/2017","5"
"3","QUEM DISSE BERENICE","4","SOLAR","8/21/2017","6"
"1","BOTICÁRIO","4","SOLAR","4/20/2017","2"
"5","BELEZA NA WEB","2","PERFUMARIA","1/18/2017","4"
"5","BELEZA NA WEB","1","CABELOS","5/23/2017","9"
"3","QUEM DISSE BERENICE","5","HIDRATANTES","5/27/2017","6"
"5","BELEZA NA WEB","2","PERFUMARIA","11/18/2017","2"
"3","QUEM DISSE BERENICE","3","MAQUIAGEM","5/1/2017","11"
"4","VULT","2","PERFUMARIA","12/27/2017","11"
"4","VULT","1","CABELOS","12/13/2017","4"
"5","BELEZA NA WEB","4","SOLAR","9/23/2017","8"
"5","BELEZA NA WEB","3","MAQUIAGEM","3/30/2017","19"
"4","VULT","4","SOLAR","7/14/2017","6"
"2","EUDORA","1","CABELOS","1/24/2017","11"
"4","VULT","2","PERFUMARIA","4/18/2017","20"
"1","BOTICÁRIO","5","HIDRATANTES","2/9/2017","13"
"5","BELEZA NA WEB","4","SOLAR","11/5/2017","3"
"2","EUDORA","1","CABELOS","9/9/2017","1"
"3","QUEM DISSE BERENICE","3","MAQUIAGEM","6/13/2017","17"
"4","VULT","5","HIDRATANTES","6/1/2017","18"
"5","BELEZA NA WEB","3","MAQUIAGEM","10/24/2017","17"
"4","VULT","3","MAQUIAGEM","2/26/2017","1"
"1","BOTICÁRIO","5","HIDRATANTES","8/8/2017","11"
"1","BOTICÁRIO","4","SOLAR","10/26/2017","19"
"3","QUEM DISSE BERENICE","5","HIDRATANTES","1/4/2017","19"
"1","BOTICÁRIO","1","CABELOS","12/7/2017","13"
"5","BELEZA NA WEB","3","MAQUIAGEM","2/2/2017","10"
"4","VULT","1","CABELOS","11/27/2017","12"
"4","VULT","2","PERFUMARIA","9/26/2017","12"
"1","BOTICÁRIO","4","SOLAR","2/4/2017","9"
"4","VULT","4","SOLAR","7/13/2017","3"
"4","VULT","1","CABELOS","7/20/2017","8"
