name,description,id,total_episodes
Data Hackers,O podcast oficial do Data Hackers: a maior comunidade de dados do Brasil. Conheça nosso site oficial: datahackers.com.br,1oMIHOXsrLFENAeM743g93,69
Let's Data,"O Let's Data traz pessoas inteligentes e interessantes para conversar sobre ciência de dados, inteligência articificial e outras aleatoriedades da vida. Criado e apresentado por Bernardo Lago, Felipe Schiavon e Leon Silva, com o objetivo de divulgar conhecimentos da área de dados aliando dois enfoques: técnico e humano. Os episódios são transmitidos ao vivo pelo nosso canal no YouTube e disponibilizado nas principais plataformas de podcat. Junte-se a nós e venha aprender mais sobre ciência de dados e IA!",0VsNN95jsJVRS424eCFDlg,31
Data Science Academy,"Portal brasileiro de capacitação online em Big Data, Data Science, Inteligência Artificial e tecnologias relacionadas.",2yaqJ4H0jc11phvCA60wKn,48
Spatial Hackers Podcast,"Criado por João Ataíde do podcast TecnoloGEO, Vitor Zanetti do podcast SIG e Cerveja com Diogo Rosanelli e Leandro Oliveira. O podcast tem o intuito de abortar os principais desafios, dores e soluções do mercado das tecnologias, com enfoque nas geotecnologias, SIG, machine Learning, inteligência artificial, robótica, deep learning, sensoriamento remoto, drones, LiDAR, Big Data e tudo mais que tiver nesse universo.",3jtf4lXKXRBaDtmMvLk3jF,19
Pizza de Dados,O primeiro podcast Brasileiro sobre ciência de dados,5k0Ei0MSg5BuiHshr43aSg,47
DataFramed,"Welcome to DataFramed, a weekly podcast where we explore how technology and data are changing the world around us. On this show, we invite data leaders and practitioners at the forefront of the data revolution to share their insights and experiences into how they lead the charge in this era of data. Whether you're a beginner looking to gain career insights into a career in data, a practitioner needing to stay up-to-date on the latest data tools and trends, or a leader looking to transform how your organization uses data, there's something here for everyone.  Join co-hosts Adel Nehme and Richie Cotton as they delve into the stories and ideas that are shaping the future of data. Subscribe to the show and tune in to the latest episode on the feed below.",02yJXEJAJiQ0Vm2AO9Xj6X,134
It's All About Data/Internet These Days. Hackers Who Are Basically F***ING Thigs Up.,"Data/Internet security you name it I'm interested in. Just here to let some steam off or even see if anyone understands me. Has to be someone who knows what I talk about, haha tired of confusing people now. Any Body on my wave level.",7kU6yrZ33zDGmuCLXepEPK,1
Hackers Con Calle,"Everyday society depends more on electronics, social media etc, and by doing so they expose their private data to the public eye. Each Saturday, join Hackers Con Calle is a group of Cyber Security professionals dedicated to inform the audience of current trends and a how to protect the digital life.",7M8pc8E8ElbJ8LMoFi9kFa,12
Hackers Brasil,Neste podcast iremos conversar com diversos hackers para entender como o mundo do hacking funciona.,1w1OuG4Eec3aViCuNATBXo,24
"Ethical Data, Explained","Welcome to Ethical Data, Explained, where we delve into the world of data and data collection.  In our podcast, we aim to debunk common myths surrounding web scraping and answer burning questions like: Is web scraping legal? Is it ethical to use proxies for data collection? Why do companies scrape data? etc. We invite tech entrepreneurs, data security experts, lawmakers, and hackers to look at data and public data collection from various points of view to unlock safe and ethical web scraping for businesses.  Join us as we chat with experts about data, web scraping, proxies, ethics, and security.",0PIVy60KSm5bdIeWBqTT5D,6
Naked Data Science,"The #1 podcast on applied data science. No fluff. Check out more mental models, practical tips, and inspirations that help you become great data scientists at http://nds.show",4Sacw5UzY7utm6coTEHS0h,35
"Programmers, Hackers and Hacks: the people and practices behind our machines","This is a podcast series that will hopefully help you learn about the role of hackers, computer programmers, data scientists all all sorts of nerds and magicians who help build our digital societies today. I am your host Paula Bialski, and I am Associate Professor for Digital Sociology at the University of St. Gallen and an affiliate researcher at the Centre for Digital Cultures at Leuphana University in Luneburg Germany.  I am ethnographer of digital cultures, which just means that I like befriending all sorts of technically-savvy nerds, which I’ve done in my research stints in the past.  This podcast was originally created for my Contextual Studies course at St. Gallen University in April 2020. A lot what I will be talking to you throughout this podcast lecture will come from my own two year research project where I hung out among corporate programmers in Berlin who made mapping and navigation software.  This podcast is written and read by Paula Bialski. Production, sound editing, and sound design was done by Heights Beats. Thank you in particular to Chris Kelty and Biella Coleman and our endeavour at hackcur.io for inspiring this podcast, as well as the Leuphana University Luneburg and the University of St. Gallen.",5NJGLJ0EGqTsNylTSk8xrW,9
Analytics Talks,"Criado em 2015, o podcast da Métricas Boss é um podcast que aborda temas relacionados a Analytics. Publicado semanalmente, o podcast da Métricas Boss visa divertir, informar e provocar reflexões sobre mercado de Dados e Analytics do Brasil. O podcast faz parte do blog da Métricas Boss, um blog que reúne o que há de novidade no mercado de Analytics.",4qP97l3OJO9vH37fWhrbB7,145
"The Elite HRV Podcast: Heart Rate Variability, Biohacking Health & Performance, Quantified Self","Uncommon methods for maximizing health and performance with an emphasis on real-world implementation of Heart Rate Variability and other biomarkers.   From biohacking to quantified self, world class doctors, coaches and athletes cover the latest research (from the lab and field), and the methods and ""tricks"" that get the best results.   Right out of the gate you can expect the President of the American Functional Medicine Association, leading HRV researchers, elite and Olympic-level sport scientists, metabolism hackers, data scientists, rehabilitation specialists, and more.   Follow the show on Twitter: @elitehrv",5wcjfEn1GxY8fOhjNYs0FV,63
Data Engineering Podcast,"This show goes behind the scenes for the tools, techniques, and difficulties associated with the discipline of data engineering. Databases, workflows, automation, and data manipulation are just some of the topics that you will find here.",2iLvljRGVVIGlJshT5vNDS,368
Hidden Files,"It aims at creating awareness around hackers stealing financial information and how cyber crime continues to evolve, with new threats surfacing every year. They can, in effect, destroy businesses and damage your financial and personal lives — especially if you’re the victim of identity theft. Cyber attacks are an evolving danger to organizations, employees and consumers. They may be designed to access or destroy sensitive data or extort money. At Hidden Files, hope listeners will be able to find tips for a better cyber security. These are real life stories solved by Amit Dubey during the lockdown period.",7r3ijPPBDnBAlN7iv8m8M2,93
Data Career Podcast,"The Data Career Podcast: helping you break into data science, build your data career, and develop a personal brand",1nfBfEtCmuvJkPQgR3bS5a,49
To Catch a Fraudster,"To Catch a Fraudster is a podcast for eCommerce merchants and enterprise security professionals who dream of vengeance on the thieves, hackers, and con artists stealing their revenue and customer data. Merchant Fraud Journal interviews the entrepreneurs, fraud experts, and corporate leaders on the front lines of the war against fraud. Join us to hear their real-world stories about the weird, the bold, and the infuriating of fraudster attacks. Learn from the mistakes of others and implement the tactics, strategies, and technologies you need to secure your store or protect your corporate systems from attack.",2vJlD1RKlZL4sgUhxYwPNm,33
Data 4 All,"A podcast where we take the complex world of data and break it down into relatable and simple concepts that empowers you to ""think different with data"".  Charlie Yielding (the practitioner) and Charlie Apigian (the academic and self-proclaimed ""data guy"") will tackle topics such what is data, data privacy and who owns your data, how to jump start your data career, and many more topics that everyone can enjoy.",3H261egSAZTUGnFFxSdofU,15
Fairway Finders Podcast,"Hello hackers and welcome to the Fairway Finders Podcast! We are Bru, Steve & Donny, three Irish golf obsessives, data mad golf tipsters and independent golf journalists focused on making golf off the course as much craic as it is on the course. Follow our weekly show with previews and picks across the PGA, DP World and LPGA Tours along with great guests from inside the ropes of all three and more! Please follow our Social Media: Twitter: @FindersFairway - email: Fairwayfinderspod@gmail.com - IG: @fairwayfinderspod",2ZPK34gTPf35J0UWNxZJ9I,75
DataByte Cast,Podcast com muitos dados e inteligência artificial para você,24QdRaSBLBgXvhwd1RPPIW,12
Breach,"What really happens when a hacker snatches all your data? Breach digs into the who, why and how of history’s most notorious data breaches. Hosted by journalist Bob Sullivan and producer Alia Tavakolian. Season 2 - Equifax: the worst breach ever. How hackers stole the most valuable data of 145 million people, why it matters, and what we can do about it.",4X4jhc72PHniFHsSZ3ammR,18
The Engineering Side of Data,Discussions around Data Engineering,4lbKlRJGgpqQUgKUFL1svm,22
Exploit Brokers - Tech and Hacking News Commentary,"Exploit brokers is dedicated to tech and hacking news commentary, hacking tutorials, and cyber security topics. Exploit brokers brings the knowledge of hacking to you. We review data breaches, malware infections, Botnet events, and other notable hacking events to learn how to better defend against it by getting in the mind of hackers. #cybersecurity #hackingnews #cybersec #whitehat",3YRafqb2OGxfXgoIPfRbe2,2
Data Skeptic,"Data Skeptic is your source for a perspective of scientific skepticism on topics in statistics, machine learning, big data, artificial intelligence, and data science. Our weekly podcast and blog bring you stories and tutorials to help understand our data-driven world.",1BZN7H3ikovSejhwQTzNm4,472
